text,label,source,title
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,negative,TwitterFinancialNews,$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,negative,TwitterFinancialNews,$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,negative,TwitterFinancialNews,$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,negative,TwitterFinancialNews,$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct
2U downgraded to sector weight from overweight at KeyBanc Capital,negative,TwitterFinancialNews,2U downgraded to sector weight from overweight at KeyBanc Capital
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,negative,TwitterFinancialNews,Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2
AMC Networks price target cut to $35 from $39 at Imperial Capital,negative,TwitterFinancialNews,AMC Networks price target cut to $35 from $39 at Imperial Capital
American Software downgraded to neutral from buy at B. Riley FBR,negative,TwitterFinancialNews,American Software downgraded to neutral from buy at B. Riley FBR
Analysts question Silicon Motion's margin outlook,negative,TwitterFinancialNews,Analysts question Silicon Motion's margin outlook
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,negative,TwitterFinancialNews,Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,negative,TwitterFinancialNews,Arch Coal stock price target cut to $97 from $100 at B. Riley FBR
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,negative,TwitterFinancialNews,AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company
AT&T shares sink after MoffettNathanson downgrade,negative,TwitterFinancialNews,AT&T shares sink after MoffettNathanson downgrade
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",negative,TwitterFinancialNews,"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling"
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,negative,TwitterFinancialNews,Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus
Autodesk downgraded to underweight from neutral at JPMorgan,negative,TwitterFinancialNews,Autodesk downgraded to underweight from neutral at JPMorgan
BAML warns of profit pressure for Hormel,negative,TwitterFinancialNews,BAML warns of profit pressure for Hormel
Barclays cools on Molson Coors,negative,TwitterFinancialNews,Barclays cools on Molson Coors
Becton Dickinson downgraded to outperform from strong buy at Raymond James,negative,TwitterFinancialNews,Becton Dickinson downgraded to outperform from strong buy at Raymond James
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,negative,TwitterFinancialNews,Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital
Berry Petroleum downgraded to market perform from outperform at BMO Capital,negative,TwitterFinancialNews,Berry Petroleum downgraded to market perform from outperform at BMO Capital
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,negative,TwitterFinancialNews,Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital
Bluebird bio downgraded to in line from outperform at Evercore ISI,negative,TwitterFinancialNews,Bluebird bio downgraded to in line from outperform at Evercore ISI
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,negative,TwitterFinancialNews,Bluebird bio stock price target cut to $86 from $172 at Evercore ISI
Canada Goose downgraded to buy from strong buy at CFRA,negative,TwitterFinancialNews,Canada Goose downgraded to buy from strong buy at CFRA
Canada Goose stock price target cut to $50 from $65 at CFRA,negative,TwitterFinancialNews,Canada Goose stock price target cut to $50 from $65 at CFRA
Children's Place downgraded as e-commerce puts margins at risk,negative,TwitterFinancialNews,Children's Place downgraded as e-commerce puts margins at risk
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,negative,TwitterFinancialNews,Children's Place price target cut to $80 from $105 at Monness Crespi Hardt
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,negative,TwitterFinancialNews,Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,negative,TwitterFinancialNews,Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,negative,TwitterFinancialNews,Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR
"Dell, HPE targets trimmed on compute headwinds",negative,TwitterFinancialNews,"Dell, HPE targets trimmed on compute headwinds"
Dish may not be key winner amid Intelsat woes - analyst,negative,TwitterFinancialNews,Dish may not be key winner amid Intelsat woes - analyst
Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,negative,TwitterFinancialNews,Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/In
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,negative,TwitterFinancialNews,Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $
Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,negative,TwitterFinancialNews,Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $
Dropbox on watch after stinging Spruce Point report,negative,TwitterFinancialNews,Dropbox on watch after stinging Spruce Point report
"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",negative,TwitterFinancialNews,"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts"
Evercore downgrades bluebird bio and Clovis in premarket analyst action,negative,TwitterFinancialNews,Evercore downgrades bluebird bio and Clovis in premarket analyst action
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",negative,TwitterFinancialNews,"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act "
Forescout downgraded to neutral from buy at Monness Crespi Hardt,negative,TwitterFinancialNews,Forescout downgraded to neutral from buy at Monness Crespi Hardt
FormFactor cut on 'unsustainable' revenue outlook,negative,TwitterFinancialNews,FormFactor cut on 'unsustainable' revenue outlook
Funko downgraded to hold from buy at Stifel Nicolaus,negative,TwitterFinancialNews,Funko downgraded to hold from buy at Stifel Nicolaus
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,negative,TwitterFinancialNews,Funko stock price target cut to $10 from $25 at Stifel Nicolaus
GM stock price target cut to $30 from $32 at Deutsche Bank,negative,TwitterFinancialNews,GM stock price target cut to $30 from $32 at Deutsche Bank
Grubhub gains a bear on margin view,negative,TwitterFinancialNews,Grubhub gains a bear on margin view
H&P downgraded at Argus as drilling industry weakness seen persisting,negative,TwitterFinancialNews,H&P downgraded at Argus as drilling industry weakness seen persisting
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,negative,TwitterFinancialNews,Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,negative,TwitterFinancialNews,Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank
Hexo stock price target cut to C$5 from C$6 at MKM Partners,negative,TwitterFinancialNews,Hexo stock price target cut to C$5 from C$6 at MKM Partners
Home Depot stock price target cut to $237 from $240 at Instinet,negative,TwitterFinancialNews,Home Depot stock price target cut to $237 from $240 at Instinet
Intelsat downgraded to underweight from neutral at J.P. Morgan,negative,TwitterFinancialNews,Intelsat downgraded to underweight from neutral at J.P. Morgan
Intelsat lower after Morgan Stanley target cut,negative,TwitterFinancialNews,Intelsat lower after Morgan Stanley target cut
Jefferies warns on L Brands,negative,TwitterFinancialNews,Jefferies warns on L Brands
Kohl's stock price target cut to $48 from $52 at Deutsche Bank,negative,TwitterFinancialNews,Kohl's stock price target cut to $48 from $52 at Deutsche Bank
Kohl's stock price target cut to $50 from $53 at Wedbush,negative,TwitterFinancialNews,Kohl's stock price target cut to $50 from $53 at Wedbush
L Brands stock price target cut to $16 from $20 at Wedbush,negative,TwitterFinancialNews,L Brands stock price target cut to $16 from $20 at Wedbush
Lovesac stock price target cut to $28 vs. $33 at Canaccord,negative,TwitterFinancialNews,Lovesac stock price target cut to $28 vs. $33 at Canaccord
Lyft stock price target cut to $58 from $70 at Deutsche Bank,negative,TwitterFinancialNews,Lyft stock price target cut to $58 from $70 at Deutsche Bank
Macerich downgraded to underweight from sector weight at KeyBanc Capital,negative,TwitterFinancialNews,Macerich downgraded to underweight from sector weight at KeyBanc Capital
Marinus Pharma stock price target cut to $6 from $7 at Leerink,negative,TwitterFinancialNews,Marinus Pharma stock price target cut to $6 from $7 at Leerink
Methanex downgraded at TD Securities on valuation,negative,TwitterFinancialNews,Methanex downgraded at TD Securities on valuation
Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,negative,TwitterFinancialNews,Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models
Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,negative,TwitterFinancialNews,Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital
Mitek Systems stock price target cut to $11 from $14 at Benchmark,negative,TwitterFinancialNews,Mitek Systems stock price target cut to $11 from $14 at Benchmark
Napco Security stock price target cut to $30 from $35 at Imperial Capital,negative,TwitterFinancialNews,Napco Security stock price target cut to $30 from $35 at Imperial Capital
Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,negative,TwitterFinancialNews,Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall
Netflix downgraded to ‘underperform’ at Needham,negative,TwitterFinancialNews,Netflix downgraded to ‘underperform’ at Needham
Netflix stock falls after Wells Fargo turns bearish,negative,TwitterFinancialNews,Netflix stock falls after Wells Fargo turns bearish
New Netflix bear steps out,negative,TwitterFinancialNews,New Netflix bear steps out
"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",negative,TwitterFinancialNews,"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA"
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,negative,TwitterFinancialNews,Norwegian Cruise Line downgraded to strong sell from hold at CFRA
Novo Nordisk downgraded by UBS on concerns over drug launch cost,negative,TwitterFinancialNews,Novo Nordisk downgraded by UBS on concerns over drug launch cost
Oppenheimer cuts estimates on Yum China,negative,TwitterFinancialNews,Oppenheimer cuts estimates on Yum China
Orbcomm price target lowered to $9 at Canaccord,negative,TwitterFinancialNews,Orbcomm price target lowered to $9 at Canaccord
O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,negative,TwitterFinancialNews,O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan
Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,negative,TwitterFinancialNews,Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,negative,TwitterFinancialNews,PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital
Rio Tinto downgraded to neutral from overweight at J.P. Morgan,negative,TwitterFinancialNews,Rio Tinto downgraded to neutral from overweight at J.P. Morgan
"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",negative,TwitterFinancialNews,"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production"
Royal Caribbean downgraded to sell from buy at CFRA,negative,TwitterFinancialNews,Royal Caribbean downgraded to sell from buy at CFRA
Royal Caribbean stock price target cut to $100 from $135 at CFRA,negative,TwitterFinancialNews,Royal Caribbean stock price target cut to $100 from $135 at CFRA
Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,negative,TwitterFinancialNews,Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment
Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,negative,TwitterFinancialNews,Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasti
Sherwin-Williams cut from Conviction Buy at Goldman on valuation,negative,TwitterFinancialNews,Sherwin-Williams cut from Conviction Buy at Goldman on valuation
Sirius downgraded on valuation,negative,TwitterFinancialNews,Sirius downgraded on valuation
Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,negative,TwitterFinancialNews,Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T
SunTrust latest to trim Nielsen target,negative,TwitterFinancialNews,SunTrust latest to trim Nielsen target
Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,negative,TwitterFinancialNews,Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG
Take-Two downgraded on murky game slate,negative,TwitterFinancialNews,Take-Two downgraded on murky game slate
Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,negative,TwitterFinancialNews,Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners
Target Hospitality downgraded to perform from outperform at Oppenheimer,negative,TwitterFinancialNews,Target Hospitality downgraded to perform from outperform at Oppenheimer
Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,negative,TwitterFinancialNews,Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital
"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",negative,TwitterFinancialNews,"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price"
Transocean started at sell with $3 stock price target at Deutsche Bank,negative,TwitterFinancialNews,Transocean started at sell with $3 stock price target at Deutsche Bank
Ultra Clean downgraded to hold from buy at Stifel Nicolaus,negative,TwitterFinancialNews,Ultra Clean downgraded to hold from buy at Stifel Nicolaus
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,negative,TwitterFinancialNews,Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get a
Wells Fargo Downgrades Netflix On Spending Concerns,negative,TwitterFinancialNews,Wells Fargo Downgrades Netflix On Spending Concerns
"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",negative,TwitterFinancialNews,"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD"
Welltower stock price target cut to $90 from $95 at J.P. Morgan,negative,TwitterFinancialNews,Welltower stock price target cut to $90 from $95 at J.P. Morgan
WWE stock price target cut to $57 from $79 at Benchmark,negative,TwitterFinancialNews,WWE stock price target cut to $57 from $79 at Benchmark
$ALTG: Dougherty & Company starts at Buy,neutral,TwitterFinancialNews,$ALTG: Dougherty & Company starts at Buy
$AMD - AMD's Navi shows strong adoption - BofA https://t.co/WnCksfl1gX,neutral,TwitterFinancialNews,$AMD - AMD's Navi shows strong adoption - BofA https://t.co/WnCksfl1gX
$ANCUF: BMO Capital Markets ups to Outperform,neutral,TwitterFinancialNews,$ANCUF: BMO Capital Markets ups to Outperform
$BHE: Lake Street starts at Buy,neutral,TwitterFinancialNews,$BHE: Lake Street starts at Buy
$CNC *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*,neutral,TwitterFinancialNews,$CNC *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*
$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593,neutral,TwitterFinancialNews,$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593
$EBAY - Guggenheim sees favorable catalysts for eBay https://t.co/1adfDkHeaw,neutral,TwitterFinancialNews,$EBAY - Guggenheim sees favorable catalysts for eBay https://t.co/1adfDkHeaw
$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y,neutral,TwitterFinancialNews,$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y
$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N,neutral,TwitterFinancialNews,$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N
"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyARTEahWH",neutral,TwitterFinancialNews,"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyART"
$GBT: Cantor Fitzgerald resumes at Overweight,neutral,TwitterFinancialNews,$GBT: Cantor Fitzgerald resumes at Overweight
$GM - Morgan Stanley sees GM doubling in bull case scenario https://t.co/uNK2xzGQuq,neutral,TwitterFinancialNews,$GM - Morgan Stanley sees GM doubling in bull case scenario https://t.co/uNK2xzGQuq
$GOOS: Barclays starts at Overweight,neutral,TwitterFinancialNews,$GOOS: Barclays starts at Overweight
$HAS - Hasbro gains after UBS upgrade https://t.co/taTMaip1uM,neutral,TwitterFinancialNews,$HAS - Hasbro gains after UBS upgrade https://t.co/taTMaip1uM
"$JD - New https://t.co/BDnqOJSFq5 bull praises acceleration, margin profile https://t.co/Swtzl0mjnF",neutral,TwitterFinancialNews,"$JD - New https://t.co/BDnqOJSFq5 bull praises acceleration, margin profile https://t.co/Swtzl0mjnF"
$JD: Barclays ups to Overweight,neutral,TwitterFinancialNews,$JD: Barclays ups to Overweight
$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw,neutral,TwitterFinancialNews,$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw
$KIM: Compass Point ups to Neutral,neutral,TwitterFinancialNews,$KIM: Compass Point ups to Neutral
$LOW - Lowe's racks up another positive rating despite recession risk https://t.co/ekx4f6aqIK,neutral,TwitterFinancialNews,$LOW - Lowe's racks up another positive rating despite recession risk https://t.co/ekx4f6aqIK
$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM,neutral,TwitterFinancialNews,$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM
$LULU: Barclays starts at Overweight https://t.co/MCyfTsXc2N,neutral,TwitterFinancialNews,$LULU: Barclays starts at Overweight https://t.co/MCyfTsXc2N
"$MU $WDC - Bull sees 2020 upsides for MU, WDC https://t.co/65zGfs82xI",neutral,TwitterFinancialNews,"$MU $WDC - Bull sees 2020 upsides for MU, WDC https://t.co/65zGfs82xI"
$NBY Rated buy https://t.co/xWbLXU1yOY,neutral,TwitterFinancialNews,$NBY Rated buy https://t.co/xWbLXU1yOY
$NFLX - SunTrust expecting Netflix to post strong user growth https://t.co/6z62FXsUom,neutral,TwitterFinancialNews,$NFLX - SunTrust expecting Netflix to post strong user growth https://t.co/6z62FXsUom
$NVDA - Nvidia set for gaming tailwinds - BofA https://t.co/l3m78pJzrW,neutral,TwitterFinancialNews,$NVDA - Nvidia set for gaming tailwinds - BofA https://t.co/l3m78pJzrW
$OCN - BTIG sees 'material improvement' to Ocwen book value https://t.co/8MMo05uiM6,neutral,TwitterFinancialNews,$OCN - BTIG sees 'material improvement' to Ocwen book value https://t.co/8MMo05uiM6
$OYST: Cowen starts at Outperform,neutral,TwitterFinancialNews,$OYST: Cowen starts at Outperform
$RAPT: BMO Capital Markets starts at Outperform,neutral,TwitterFinancialNews,$RAPT: BMO Capital Markets starts at Outperform
$RNG - Evercore starts RingCentral at Outperform https://t.co/rfNcO3sw2k,neutral,TwitterFinancialNews,$RNG - Evercore starts RingCentral at Outperform https://t.co/rfNcO3sw2k
$SBAC $SBAC $AMT - MoffettNathanson boosts SBAC to Buy https://t.co/8k4l0c5x89,neutral,TwitterFinancialNews,$SBAC $SBAC $AMT - MoffettNathanson boosts SBAC to Buy https://t.co/8k4l0c5x89
$SNAP - Loop turns bullish on Snap ad growth https://t.co/TekdZS48et,neutral,TwitterFinancialNews,$SNAP - Loop turns bullish on Snap ad growth https://t.co/TekdZS48et
$STXS: Lake Street starts at Buy,neutral,TwitterFinancialNews,$STXS: Lake Street starts at Buy
$TENB - Cowen sees upside in TENB's Indegy purchase https://t.co/Ve7bTreR7Y,neutral,TwitterFinancialNews,$TENB - Cowen sees upside in TENB's Indegy purchase https://t.co/Ve7bTreR7Y
"$UBER $LYFT - Uber, Lyft can raise prices to profit - Barclays https://t.co/1xx084l36h",neutral,TwitterFinancialNews,"$UBER $LYFT - Uber, Lyft can raise prices to profit - Barclays https://t.co/1xx084l36h"
$WABC: Maxim Group ups to Buy,neutral,TwitterFinancialNews,$WABC: Maxim Group ups to Buy
$WRI: Compass Point ups to Buy,neutral,TwitterFinancialNews,$WRI: Compass Point ups to Buy
$ZS - New Zscaler bull sees 'sustainable' growth; shares +4% https://t.co/4fx811IVG5,neutral,TwitterFinancialNews,$ZS - New Zscaler bull sees 'sustainable' growth; shares +4% https://t.co/4fx811IVG5
"Activision, Take-Two charts look 'constructive' as Wells Fargo gets bullish on video game plays: Trader $ATVI $TTWO… https://t.co/1s0WRleA2n",neutral,TwitterFinancialNews,"Activision, Take-Two charts look 'constructive' as Wells Fargo gets bullish on video game plays: Tra"
Adobe stock price target raised to $315 vs. $290 at Wedbush,neutral,TwitterFinancialNews,Adobe stock price target raised to $315 vs. $290 at Wedbush
Adobe stock price target raised to $318 vs. $310 at Instinet,neutral,TwitterFinancialNews,Adobe stock price target raised to $318 vs. $310 at Instinet
Aegis Capital positive on Netflix usage trend,neutral,TwitterFinancialNews,Aegis Capital positive on Netflix usage trend
"After a 60% drop in 6 months, Bank of America says buy pot stock Canopy",neutral,TwitterFinancialNews,"After a 60% drop in 6 months, Bank of America says buy pot stock Canopy"
Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity,neutral,TwitterFinancialNews,Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity
Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus,neutral,TwitterFinancialNews,Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus
Allergan upgraded to buy from neutral at UBS,neutral,TwitterFinancialNews,Allergan upgraded to buy from neutral at UBS
Altria stock price target raised to $54 from $50 at Stifel Nicolaus,neutral,TwitterFinancialNews,Altria stock price target raised to $54 from $50 at Stifel Nicolaus
Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey,neutral,TwitterFinancialNews,Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey
"An analyst at Loop Capital upgrades $LYFT  to buy from hold, citing higher revenue growth potential.  https://t.co/2blCalNe9P",neutral,TwitterFinancialNews,"An analyst at Loop Capital upgrades $LYFT  to buy from hold, citing higher revenue growth potential."
